,IdEncuesta,IdPersona,IdSexo,folio_nino,IdCuidador,FechaInicioF4,Region,Zona,IdSegmento,edad,fecha_nacimiento,des2,des2_esp,des2_esp_sinCodificar,des3,des3_esp,des3_esp_sinCodificar,des4,des11_1,des11_2,des11_3,des11_4,des11_5,des5_1,des5_2,des5_3,des5_4,des5_5,des6_1,des6_2,des6_3,des6_4,des6_5,des6_6,des6_7,des6_8,des7_1,des7_2,des7_3,des7_4,des7_5,des7_6,des7_7,des8_1,des8_2,des8_3,des8_4,des8_5,des9_1,des9_2,des9_3,des9_4,des9_5,des9_6,des9_7,des9_8,des9_9,des10,des10a,SexoCuidador,EdadCuidador,NEDUCuidador,Conglomerado,Estrato,Fexp_F4p_Corr,Edad_nino_meses,edad_nino_ano,Tramo_edad,Fexp_F4p_Corr_MINSAL1_trunc,Fexp_F4p_Corr_MINSAL2,Fexp_F4p_Corr_MINSAL2_trunc,NEDU1_MINSAL_2,rezago,retraso,estado_menor
563,26012.0,34.0,1.0,2601201.0,30.0,13695826206.0,9.0,1.0,7105104.0,4.0,13558924800.0,1.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,2.0,36.0,1.0,7105104.0,71.0,395.72406005859375,52.0,4.0,6.0,396.110321,395.2358704,395.9858704,1.0,1.0,1.0,3.0
564,26014.0,37.0,2.0,2601401.0,35.0,13695828758.0,9.0,1.0,7105104.0,1.0,13650076800.0,1.0,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,24.0,2.0,7105104.0,71.0,407.25689697265625,17.0,1.0,3.0,409.1725769,428.1278992,428.898407,2.0,0.0,0.0,1.0
565,26015.0,39.0,2.0,2601501.0,37.0,13695832394.0,9.0,1.0,7105104.0,1.0,13643683200.0,1.0,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,25.0,,7105104.0,71.0,407.25689697265625,19.0,1.0,3.0,409.1725769,428.1278992,428.898407,1.0,0.0,0.0,1.0
566,26015.0,41.0,1.0,2601502.0,38.0,13695832047.0,9.0,1.0,7105104.0,1.0,13652409600.0,5.0,,,4.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,58.0,1.0,7105104.0,71.0,407.25689697265625,16.0,1.0,3.0,409.1725769,428.1278992,428.898407,1.0,0.0,0.0,1.0
567,26022.0,45.0,2.0,2602201.0,44.0,13695840471.0,9.0,1.0,7105105.0,4.0,13557974400.0,1.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,25.0,3.0,7105105.0,71.0,314.96405029296875,52.0,4.0,6.0,315.2715149,314.5755005,315.1724243,1.0,0.0,1.0,3.0
568,26033.0,37.0,2.0,2603301.0,35.0,13696365784.0,9.0,1.0,7201102.0,2.0,13611715200.0,5.0,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,2.0,54.0,,7201102.0,71.0,738.7359619140625,32.0,2.0,4.0,744.8240967,791.7181396,793.3701782,3.0,0.0,0.0,1.0
569,26033.0,38.0,2.0,2603302.0,35.0,13696366344.0,9.0,1.0,7201102.0,2.0,13611715200.0,5.0,,,4.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,2.0,54.0,,7201102.0,71.0,738.7359619140625,32.0,2.0,4.0,744.8240967,791.7181396,793.3701782,3.0,0.0,0.0,1.0
570,26035.0,79.0,1.0,2603502.0,77.0,13699996239.0,9.0,1.0,7201102.0,1.0,13644201600.0,1.0,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,22.0,2.0,7201102.0,71.0,752.4071655273438,21.0,1.0,3.0,756.5108032,791.5568848,792.9815063,2.0,1.0,0.0,2.0
571,26043.0,56.0,1.0,2604301.0,53.0,13696381435.0,9.0,1.0,7301101.0,4.0,13540003200.0,1.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,29.0,3.0,7301101.0,71.0,8184.21923828125,59.0,4.0,6.0,8106.458984,8089.799316,8104.087891,3.0,0.0,0.0,1.0
572,26045.0,59.0,2.0,2604501.0,58.0,13696367472.0,9.0,1.0,7301101.0,4.0,13555468800.0,1.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,34.0,3.0,7301101.0,71.0,4033.610595703125,53.0,4.0,6.0,4005.740723,3996.897461,4004.482178,3.0,1.0,0.0,2.0
573,26057.0,50.0,1.0,2605701.0,52.0,13696789282.0,9.0,1.0,7301103.0,1.0,13665110400.0,1.0,,,1.0,,,3.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,37.0,3.0,7301103.0,71.0,905.7086181640625,12.0,1.0,3.0,902.800415,944.6235352,946.3236084,3.0,1.0,0.0,2.0
574,26057.0,51.0,1.0,2605702.0,52.0,13696789696.0,9.0,1.0,7301103.0,2.0,13610937600.0,1.0,,,1.0,,,3.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,2.0,,2.0,37.0,3.0,7301103.0,71.0,889.2518920898438,32.0,2.0,4.0,888.8538208,944.815918,946.7874756,3.0,0.0,0.0,1.0
575,26070.0,41.0,2.0,2607001.0,39.0,13696031140.0,9.0,1.0,7301104.0,3.0,13582944000.0,1.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,2.0,28.0,2.0,7301104.0,71.0,1907.484375,42.0,3.0,5.0,1892.838501,1894.637573,1897.178589,2.0,0.0,0.0,1.0
576,26071.0,5.0,1.0,2607101.0,4.0,13696275420.0,9.0,1.0,7301105.0,3.0,13599446400.0,1.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,2.0,31.0,2.0,7301105.0,71.0,130.0868682861328,36.0,3.0,5.0,129.4706421,132.0298462,132.2720184,2.0,0.0,0.0,1.0
577,26071.0,6.0,2.0,2607102.0,4.0,13696275667.0,9.0,1.0,7301105.0,1.0,13647830400.0,1.0,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,31.0,2.0,7301105.0,71.0,140.6221160888672,18.0,1.0,3.0,140.1705627,146.6641083,146.9280548,2.0,0.0,0.0,1.0
578,26073.0,44.0,2.0,2607301.0,41.0,13696536807.0,9.0,1.0,7301105.0,3.0,13579574400.0,1.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,2.0,,2.0,40.0,2.0,7301105.0,71.0,130.0868682861328,44.0,3.0,5.0,129.4706421,132.0298462,132.2720184,3.0,1.0,1.0,3.0
579,26076.0,46.0,1.0,2607601.0,45.0,13696720035.0,9.0,1.0,7301105.0,1.0,13645584000.0,1.0,,,8.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,30.0,3.0,7301105.0,71.0,140.6221160888672,19.0,1.0,3.0,140.1705627,146.6641083,146.9280548,3.0,0.0,0.0,1.0
580,26087.0,40.0,1.0,2608701.0,36.0,13696369439.0,9.0,1.0,7301107.0,1.0,13650076800.0,1.0,,,8.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,33.0,2.0,7301107.0,71.0,922.48095703125,17.0,1.0,3.0,919.5187988,962.116394,963.8479614,2.0,0.0,0.0,1.0
